ccn,provider_name,state,county_raw,city,zip,latitude,longitude,county_name,geoid,county_name_official
455565,Avir at Town Creek,TX,Anderson,PALESTINE,75801,31.7308,-95.676,Anderson,48001,Anderson
455569,HERITAGE AT LONGVIEW HEALTHCARE CENTER,TX,Gregg,LONGVIEW,75605,32.53,-94.743,Gregg,48183,Gregg
455570,MINERAL WELLS NURSING & REHABILITATION,TX,Palo Pinto,MINERAL WELLS,76067,32.8,-98.146,Palo Pinto,48363,Palo Pinto
455572,WEDGEWOOD NURSING HOME,TX,Tarrant,FORT WORTH,76133,32.6513,-97.407,Tarrant,48439,Tarrant
455573,Texoma Healthcare Center,TX,Grayson,Sherman,75090,33.669,-96.605,Grayson,48181,Grayson
455574,Avir at Weatherford,TX,Parker,WEATHERFORD,76086,32.7783,-97.805,Parker,48367,Parker
455575,RETAMA MANOR NURSING CENTER,TX,Nueces,CORPUS CHRISTI,78405,27.7781,-97.414,Nueces,48355,Nueces
455576,RICHLAND HILLS REHABILITATION AND HEALTHCARE CENTE,TX,Tarrant,FORT WORTH,76118,32.8068,-97.235,Tarrant,48439,Tarrant
455579,SULPHUR SPRINGS HEALTH AND REHABILITATION,TX,Hopkins,SULPHUR SPRINGS,75482,33.1563,-95.605,Hopkins,48223,Hopkins
455582,PARADIGM AT BAY CITY,TX,Matagorda,BAY CITY,77414,28.9893,-95.969,Matagorda,48321,Matagorda
455586,Grand Terrace Rehabilitation and Healthcare,TX,Hidalgo,McAllen,78501,26.1958,-98.229,Hidalgo,48215,Hidalgo
455589,FORTRESS NURSING AND REHABILITATION,TX,Brazos,COLLEGE STATION,77845,30.5786,-96.299,Brazos,48041,Brazos
455591,FOCUSED CARE OF WAXAHACHIE,TX,Ellis,WAXAHACHIE,75165,32.3972,-96.863,Ellis,48139,Ellis
455592,WEST SIDE CAMPUS OF CARE,TX,Tarrant,WHITE SETTLEMENT,76108,32.7405,-97.467,Tarrant,48439,Tarrant
455594,PARADIGM AT KOUNTZE,TX,Hardin,KOUNTZE,77625,30.3674,-94.319,Hardin,48199,Hardin
455597,MEMORIAL MEDICAL NURSING CENTER,TX,Bexar,SAN ANTONIO,78212,29.4406,-98.497,Bexar,48029,Bexar
455599,Heritage Park Rehabilitation and Skilled Nursing C,TX,Travis,Austin,78722,30.2825,-97.712,Travis,48453,Travis
455601,Alvarado Meadows Nursing & Rehabilitation,TX,Johnson,Alvarado,76009,32.4075,-97.218,Johnson,48251,Johnson
455602,WESTERN HILLS HEALTHCARE RESIDENCE,TX,Comanche,COMANCHE,76442,31.9012,-98.618,Comanche,48093,Comanche
455606,PARK VIEW CARE CENTER,TX,Tarrant,FORT WORTH,76103,32.7451,-97.279,Tarrant,48439,Tarrant
455608,HACIENDA OAKS AT BEEVILLE,TX,Bee,BEEVILLE,78102,28.4034,-97.749,Bee,48025,Bee
455611,GRACE CARE CENTER OF OLNEY,TX,Young,OLNEY,76374,33.3726,-98.773,Young,48503,Young
455613,Avir at Courtyard,TX,Harris,HOUSTON,77087,29.6763,-95.292,Harris,48201,Harris
455617,Christian Care Center,TX,Dallas,Mesquite,75150,32.8355,-96.613,Dallas,48113,Dallas
455618,Eden Home,TX,Comal,New Braunfels,78130,29.723,-98.129,Comal,48091,Comal
455621,Valley Grande Manor,TX,Hidalgo,Weslaco,78596,26.1482,-97.982,Hidalgo,48215,Hidalgo
455625,ALTA VISTA REHABILITATION AND HEALTHCARE,TX,Cameron,BROWNSVILLE,78521,25.9283,-97.489,Cameron,48061,Cameron
455626,Oakmont Guest Care Center,TX,Tarrant,Hurst,76054,32.8663,-97.178,Tarrant,48439,Tarrant
455627,Denton Village by PureHealth,TX,Denton,DENTON,76201,33.2372,-97.144,Denton,48121,Denton
455628,HILLTOP VILLAGE NURSING AND REHABILITATION,TX,Kerr,KERRVILLE,78028,30.0766,-99.157,Kerr,48265,Kerr
455631,COLONIAL MANOR NURSING CENTER,TX,Johnson,CLEBURNE,76031,32.3651,-97.406,Johnson,48251,Johnson
455637,Wellington Rehabilitation and Healthcare,TX,Bell,Temple,76504,31.0839,-97.364,Bell,48027,Bell
455638,GREENVIEW NURSING AND REHABILITATION,TX,Mc Lennan,WACO,76710,31.5162,-97.193,Mclennan,48309,McLennan
455641,PALO DURO NURSING HOME,TX,Armstrong,CLAUDE,79019,35.1058,-101.36,Armstrong,48011,Armstrong
455642,DAYTON NURSING AND REHABILITATION,TX,Liberty,DAYTON,77535,30.0592,-94.894,Liberty,48291,Liberty
455643,AVIR AT BAY CITY,TX,Matagorda,BAY CITY,77414,28.988,-95.981,Matagorda,48321,Matagorda
455646,MARSHALL MANOR NURSING & REHABILITATION CENTER,TX,Harrison,MARSHALL,75670,32.536,-94.368,Harrison,48203,Harrison
455651,DOWNTOWN HEALTH AND REHABILITATION CENTER,TX,Tarrant,FORT WORTH,76104,32.7408,-97.336,Tarrant,48439,Tarrant
455652,SILVER CREEK MANOR,TX,Bexar,SAN ANTONIO,78250,29.4858,-98.66,Bexar,48029,Bexar
455653,SKYLINE NURSING CENTER,TX,Dallas,DALLAS,75233,32.7107,-96.875,Dallas,48113,Dallas
455662,Windsor Nursing and Rehabilitation Center of Mcall,TX,Hidalgo,Mcallen,78501,26.1955,-98.234,Hidalgo,48215,Hidalgo
455670,Ridgecrest Retirement and Healthcare Community,TX,Mc Lennan,Waco,76712,31.5272,-97.228,Mclennan,48309,McLennan
455672,GOLDEN PALMS REHABILITATION AND RETIREMENT,TX,Cameron,HARLINGEN,78550,26.1752,-97.666,Cameron,48061,Cameron
455673,PARKWOOD IN THE PINES,TX,Angelina,LUFKIN,75904,31.3404,-94.748,Angelina,48005,Angelina
455675,LANDMARK OF AMARILLO REHABILITATION AND NURSING CE,TX,Potter,AMARILLO,79124,35.2167,-101.9,Potter,48375,Potter
455676,COMMUNITY CARE CENTER OF HONDO,TX,Medina,HONDO,78861,29.3569,-99.102,Medina,48325,Medina
455678,AVIR AT LONGVIEW,TX,Gregg,LONGVIEW,75605,32.5322,-94.74,Gregg,48183,Gregg
455682,Afton Oaks Nursing Center,TX,Harris,Houston,77087,29.687,-95.293,Harris,48201,Harris
455683,HENDRICK SKILLED NURSING FACILITY,TX,Taylor,ABILENE,79601,32.4716,-99.731,Taylor,48441,Taylor
455684,LONGVIEW HILL NURSING AND REHABILITATION CENTER,TX,Gregg,LONGVIEW,75605,32.5382,-94.732,Gregg,48183,Gregg
455685,LAKE FOREST VILLAGE BY PUREHEALTH,TX,Denton,DENTON,76210,33.1588,-97.12,Denton,48121,Denton
455687,ALAMEDA OAKS NURSING CENTER,TX,Nueces,CORPUS CHRISTI,78404,27.7815,-97.403,Nueces,48355,Nueces
455689,SAN PEDRO MANOR,TX,Bexar,SAN ANTONIO,78212,29.4491,-98.498,Bexar,48029,Bexar
455690,PARKS HEALTH CENTER,TX,Ector,ODESSA,79765,31.9093,-102.29,Ector,48135,Ector
455697,AVIR AT CORPUS CHRISTI,TX,Nueces,CORPUS CHRISTI,78405,27.7628,-97.459,Nueces,48355,Nueces
455699,Paradigm at the Creek,TX,Wharton,Wharton,77488,29.3268,-96.116,Wharton,48481,Wharton
455700,WILLOWBROOK NURSING CENTER,TX,Nacogdoches,NACOGDOCHES,75965,31.6538,-94.655,Nacogdoches,48347,Nacogdoches
455703,Oakmont Healthcare and Rehabilitation Center of Ka,TX,Harris,Katy,77449,29.7918,-95.742,Harris,48201,Harris
455713,Avir at San Antonio,TX,Bexar,San Antonio,78224,29.355,-98.548,Bexar,48029,Bexar
455714,Paradigm Northwest,TX,Harris,Houston,77090,30.0234,-95.445,Harris,48201,Harris
455715,Monument Rehabilitation and Nursing Center,TX,Fayette,La Grange,78945,29.8872,-96.875,Fayette,48149,Fayette
455718,PEBBLE CREEK NURSING CENTER,TX,El Paso,EL PASO,79936,31.7461,-106.3,El Paso,48141,El Paso
455724,WATERSIDE NURSING & REHABILITATION,TX,Kerr,KERRVILLE,78028,30.0408,-99.137,Kerr,48265,Kerr
455725,Oakmont Healthcare and Rehabilitation of Humble,TX,Harris,Humble,77338,29.979,-95.259,Harris,48201,Harris
455726,RIVERSIDE OAKS,TX,Victoria,VICTORIA,77901,28.8229,-96.973,Victoria,48469,Victoria
455727,Park Village Healthcare and Rehabilitation,TX,Dallas,Desoto,75115,32.5752,-96.855,Dallas,48113,Dallas
455731,Advanced Health & Rehab Center of Garland,TX,Dallas,Garland,75043,32.8756,-96.614,Dallas,48113,Dallas
455732,KIRKWOOD MANOR,TX,Comal,NEW BRAUNFELS,78130,29.6946,-98.156,Comal,48091,Comal
455733,HERITAGE AT TURNER PARK HEALTH & REHAB,TX,Dallas,GRAND PRAIRIE,75050,32.7488,-96.994,Dallas,48113,Dallas
455737,CONCHO HEALTH & REHABILITATION CENTER,TX,Concho,EDEN,76837,31.2209,-99.848,Concho,48095,Concho
455742,THE LEV AT SAN ANTONIO,TX,Bexar,SAN ANTONIO,78230,29.5084,-98.551,Bexar,48029,Bexar
455744,AVIR AT STEPHENVILLE,TX,Erath,STEPHENVILLE,76401,32.2252,-98.227,Erath,48143,Erath
455745,Timberwood Nursing and Rehabilitation Center,TX,Polk,Livingston,77351,30.6548,-94.946,Polk,48373,Polk
455748,ASHFORD HALL,TX,Dallas,IRVING,75061,32.8347,-96.947,Dallas,48113,Dallas
455753,OAK BROOK HEALTH CARE CENTER,TX,Smith,WHITEHOUSE,75791,32.2155,-95.222,Smith,48423,Smith
455754,NORTHEAST REHABILITATION AND HEALTHCARE CENTER,TX,Bexar,SAN ANTONIO,78218,29.4928,-98.426,Bexar,48029,Bexar
455757,SPINDLETOP HILL NURSING & REHAB CENTER,TX,Jefferson,BEAUMONT,77707,30.0676,-94.143,Jefferson,48245,Jefferson
455761,MISSION NURSING & REHABILITATION CENTER,TX,Hidalgo,MISSION,78572,26.1965,-98.313,Hidalgo,48215,Hidalgo
455762,SAN ANTONIO WELLNESS & REHABILITATION,TX,Bexar,SAN ANTONIO,78247,29.5881,-98.402,Bexar,48029,Bexar
455763,PARK BEND REHABILITATION AND HEALTHCARE CENTER,TX,Johnson,BURLESON,76028,32.583,-97.316,Johnson,48251,Johnson
455770,OAK BEND MEDICAL CENTER,TX,Fort Bend,RICHMOND,77469,29.5783,-95.771,Fort Bend,48157,Fort Bend
455771,HEARTHSTONE NURSING AND REHABILITATION,TX,Williamson,ROUND ROCK,78681,30.5116,-97.711,Williamson,48491,Williamson
455785,Western Hills Nursing & Rehabilitation,TX,Bell,Temple,76504,31.1094,-97.369,Bell,48027,Bell
455789,OAK PARK NURSING AND REHABILITATION CENTER,TX,Bexar,SAN ANTONIO,78229,29.5016,-98.575,Bexar,48029,Bexar
455796,TOWN AND COUNTRY NURSING AND REHABILITATION CENTER,TX,Kendall,BOERNE,78006,29.7986,-98.734,Kendall,48259,Kendall
455797,PEARSALL NURSING AND REHABILITATION CENTER,TX,Frio,PEARSALL,78061,28.8973,-99.117,Frio,48163,Frio
455798,BEDFORD WELLNESS & REHABILITATION,TX,Tarrant,BEDFORD,76021,32.8395,-97.142,Tarrant,48439,Tarrant
455799,AUSTIN WELLNESS & REHABILITATION,TX,Travis,AUSTIN,78750,30.4309,-97.781,Travis,48453,Travis
455800,The Lev Attown Park,TX,Harris,Houston,77036,29.7141,-95.543,Harris,48201,Harris
455802,SPANISH MEADOWS,TX,Cameron,BROWNSVILLE,78520,25.8992,-97.505,Cameron,48061,Cameron
455804,NORTHGATE HEALTH AND REHABILITATION CENTER,TX,Bexar,SAN ANTONIO,78240,29.5123,-98.6,Bexar,48029,Bexar
455806,THE TERRACE AT DENISON,TX,Grayson,DENISON,75020,33.7684,-96.553,Grayson,48181,Grayson
455808,AVIR AT JACKSBORO,TX,Jack,JACKSBORO,76458,33.2228,-98.157,Jack,48237,Jack
455812,PARADIGM AT FIRST COLONY,TX,Fort Bend,MISSOURI CITY,77459,29.6009,-95.58,Fort Bend,48157,Fort Bend
455815,Fallbrook Rehabiliation and Care Center,TX,Harris,Houston,77064,29.9267,-95.582,Harris,48201,Harris
455817,SAN ANTONIO NORTH NURSING AND REHABILITATION,TX,Bexar,SAN ANTONIO,78212,29.4428,-98.493,Bexar,48029,Bexar
455819,Arlington Heights Health and Rehabilitation Center,TX,Tarrant,Fort Worth,76107,32.7253,-97.392,Tarrant,48439,Tarrant
455822,WINDSOR NURSING AND REHABILITATION CENTER OF HARLI,TX,Cameron,HARLINGEN,78550,26.1633,-97.675,Cameron,48061,Cameron
455823,Treemont Healthcare and Rehabilitation Center,TX,Dallas,Dallas,75230,32.9222,-96.815,Dallas,48113,Dallas
455824,WURZBACH NURSING AND REHABILITATION,TX,Bexar,SAN ANTONIO,78229,29.517,-98.576,Bexar,48029,Bexar
455831,PARIS HEALTHCARE CENTER,TX,Lamar,PARIS,75460,33.6885,-95.552,Lamar,48277,Lamar
455832,WINDSOR GARDENS,TX,Dallas,LANCASTER,75146,32.6042,-96.811,Dallas,48113,Dallas
455834,Avir at Athens,TX,Henderson,ATHENS,75751,32.1748,-95.848,Henderson,48213,Henderson
455835,Interlochen Health and Rehabilitation Center,TX,Tarrant,Arlington,76012,32.7554,-97.146,Tarrant,48439,Tarrant
455838,ROBSTOWN NURSING AND REHABILITATION CENTER,TX,Nueces,ROBSTOWN,78380,27.7987,-97.659,Nueces,48355,Nueces
455840,THE ARBORS HEALTHCARE AND REHABILITATION CENTER,TX,Cherokee,RUSK,75785,31.785,-95.157,Cherokee,48073,Cherokee
455849,ADVANCED REHABILITATION AND HEALTHCARE OF BOWIE,TX,Montague,BOWIE,76230,33.5617,-97.879,Montague,48337,Montague
455850,HURST PLAZA NURSING & REHAB,TX,Tarrant,HURST,76053,32.8261,-97.165,Tarrant,48439,Tarrant
455855,KENNEDY HEALTH & REHAB,TX,Angelina,LUFKIN,75904,31.3359,-94.761,Angelina,48005,Angelina
455856,VAN HEALTHCARE,TX,Van Zandt,VAN,75790,32.5233,-95.643,Van Zandt,48467,Van Zandt
455861,Landmark of Plano Rehabilitation and Nursing Cente,TX,Collin,Plano,75075,33.0214,-96.768,Collin,48085,Collin
455862,Coral Rehabilitation and Nursing of Austin,TX,Travis,Austin,78757,30.3452,-97.737,Travis,48453,Travis
455864,LIFE CARE CENTER OF PLANO,TX,Collin,PLANO,75075,33.0267,-96.765,Collin,48085,Collin
455866,BROOKDALE WESTLAKE HILLS,TX,Travis,AUSTIN,78746,30.2657,-97.788,Travis,48453,Travis
455869,GUADALUPE VALLEY NURSING CENTER,TX,Guadalupe,SEGUIN,78155,29.5638,-97.947,Guadalupe,48187,Guadalupe
455871,Lynwood Nursing and Rehabilitation,TX,Hockley,Levelland,79336,33.4055,-102.35,Hockley,48219,Hockley
455872,ARLINGTON RESIDENCE AND REHABILITATION CENTER,TX,Tarrant,ARLINGTON,76011,32.7448,-97.04,Tarrant,48439,Tarrant
455876,The Woodlands Healthcare Center,TX,Montgomery,The Woodlands,77381,30.1641,-95.506,Montgomery,48339,Montgomery
455879,MARSHALL MANOR WEST,TX,Harrison,MARSHALL,75670,32.535,-94.37,Harrison,48203,Harrison
455881,DFW Nursing & Rehab,TX,Tarrant,Fort Worth,76104,32.7364,-97.334,Tarrant,48439,Tarrant
455889,Lily Springs Rehabilitation and Healthcare Center,TX,Lampasas,Lampasas,76550,31.0663,-98.181,Lampasas,48281,Lampasas
455891,RENAISSANCE PARK MULTI CARE CENTER,TX,Tarrant,FORT WORTH,76109,32.6922,-97.412,Tarrant,48439,Tarrant
455893,GRACE CARE CENTER OF HENRIETTA,TX,Clay,HENRIETTA,76365,33.8131,-98.203,Clay,48077,Clay
455895,Five Points at Lake Highlands Nursing and Rehab,TX,Dallas,Dallas,75238,32.8704,-96.729,Dallas,48113,Dallas
455900,Focused Care at Mount Pleasant,TX,Titus,Mount Pleasant,75455,33.1712,-94.974,Titus,48449,Titus
455901,SWAN HEALTH AT WICHITA FALLS,TX,Wichita,WICHITA FALLS,76301,33.9029,-98.5,Wichita,48485,Wichita
455903,LAKE LODGE NURSING & REHABILITATION,TX,Tarrant,LAKE WORTH,76135,32.81,-97.447,Tarrant,48439,Tarrant
455904,ROWLETT HEALTH AND REHABILITATION CENTER,TX,Dallas,ROWLETT,75088,32.9196,-96.513,Dallas,48113,Dallas
455906,LONE STAR REHABILITATION & WELLNESS CENTER,TX,Erath,STEPHENVILLE,76401,32.2172,-98.24,Erath,48143,Erath
455908,SCHULENBURG REGENCY NURSING CENTER,TX,Fayette,SCHULENBURG,78956,29.6846,-96.9,Fayette,48149,Fayette
455910,CHANDLER NURSING CENTER,TX,Henderson,CHANDLER,75758,32.3134,-95.483,Henderson,48213,Henderson
455915,Granbury Care Center,TX,Hood,Granbury,76048,32.441,-97.799,Hood,48221,Hood
455916,UNIVERSITY PARK NURSING AND REHABILITATION,TX,Wichita,WICHITA FALLS,76310,33.8698,-98.561,Wichita,48485,Wichita
455917,Deer Creek of Wimberley,TX,Hays,Wimberley,78676,29.998,-98.09,Hays,48209,Hays
455923,Avir at Beeville,TX,Bee,Beeville,78102,28.404,-97.731,Bee,48025,Bee
455925,VERANDA REHABILITATION AND HEALTHCARE,TX,Cameron,HARLINGEN,78550,26.1519,-97.854,Cameron,48061,Cameron
455929,GRANBURY REHAB & NURSING,TX,Hood,GRANBURY,76048,32.422,-97.815,Hood,48221,Hood
455930,CEDAR RIDGE REHABILITATION AND HEALTHCARE CENTER,TX,Denton,PILOT POINT,76258,33.4127,-96.942,Denton,48121,Denton
455931,ADVANCED REHABILITATION AND HEALTHCARE OF VERNON,TX,Wilbarger,VERNON,76384,34.1594,-99.317,Wilbarger,48487,Wilbarger
455934,NORTHERN OAKS LIVING & REHABILITATION CENTER,TX,Taylor,ABILENE,79603,32.4823,-99.746,Taylor,48441,Taylor
455935,EL PASO HEALTH & REHABILITATION CENTER,TX,El Paso,EL PASO,79936,31.7515,-106.3,El Paso,48141,El Paso
455936,FOCUSED CARE AT LAMESA,TX,Dawson,LAMESA,79331,32.7443,-101.97,Dawson,48115,Dawson
455940,Avir at Lubbock,TX,Lubbock,Lubbock,79414,33.5514,-101.92,Lubbock,48303,Lubbock
455941,Avir at Enchanted Rock,TX,Gillespie,FREDERICKSBURG,78624,30.264,-98.882,Gillespie,48171,Gillespie
455942,LUBBOCK HEALTH CARE CENTER,TX,Lubbock,LUBBOCK,79410,33.5741,-101.9,Lubbock,48303,Lubbock
455944,FOCUSED CARE AT CLARKSVILLE,TX,Red River,CLARKSVILLE,75426,33.6128,-95.078,Red River,48387,Red River
455946,SWEETWATER HEALTHCARE CENTER,TX,Nolan,SWEETWATER,79556,32.4793,-100.39,Nolan,48353,Nolan
455952,CLEVELAND HEALTH CARE CENTER,TX,Liberty,CLEVELAND,77327,30.3411,-95.079,Liberty,48291,Liberty
455954,PECAN CREEK HEALTHCARE CENTER,TX,Hamilton,HAMILTON,76531,31.6978,-98.114,Hamilton,48193,Hamilton
455957,Santa Fe Health & Rehabilitation Center,TX,Parker,1205 Santa Fe Dr,76086,32.7451,-97.782,Parker,48367,Parker
455959,WESTWARD TRAILS NURSING AND REHABILITATION,TX,Nacogdoches,NACOGDOCHES,75964,31.6515,-94.69,Nacogdoches,48347,Nacogdoches
455960,HAYS NURSING AND REHABILITATION CENTER,TX,Hays,SAN MARCOS,78666,29.8546,-97.946,Hays,48209,Hays
455961,PALO PINTO NURSING CENTER,TX,Palo Pinto,MINERAL WELLS,76067,32.8036,-98.146,Palo Pinto,48363,Palo Pinto
455962,KAUFMAN HEALTHCARE CENTER,TX,Kaufman,KAUFMAN,75142,32.5742,-96.315,Kaufman,48257,Kaufman
455963,CARTHAGE HEALTHCARE CENTER,TX,Panola,CARTHAGE,75633,32.1469,-94.341,Panola,48365,Panola
455965,TEXHOMA CHRISTIAN CARE CENTER INC,TX,Wichita,WICHITA FALLS,76306,33.9142,-98.537,Wichita,48485,Wichita
455968,Graham Oaks Care Center,TX,Young,Graham,76450,33.1021,-98.574,Young,48503,Young
